author,comment,published_at
KK,Very informative and practical video. Thank you for making a video 😊. Waiting for advanced level video on airflow.,2023-04-09T10:50:16Z
Pradeep_uk117,You are best bhai ❤️,2023-04-09T03:36:26Z
Sandipan Sarkar,instead of visual code can we write the python code on google collab as I am more used to it.Please advise,2023-04-08T21:46:08Z
Karunakaran R,Thank you for your time and effort to make these videos. Really helpful.,2023-04-08T21:13:19Z
Dnyaneshwar Shelke,"im practising this code in jupyter Notebook ,while executing this i got a error : Forbidden: 403 Forbidden
453 - You currently have Essential access which includes access to Twitter API v2 endpoints only. If you need access to this endpoint, you’ll need to apply for Elevated access via the Developer Portal.
Can you plz guide me about how to solve this?",2023-04-08T01:30:28Z
pankaj suryavanshi,Please Make more videos on apache airflow Dag,2023-04-06T04:06:57Z
SecretGuy,"I created the instance but  not able to connect to 8080 port.
Did everything mentioned in the video",2023-04-02T13:29:42Z
Strollingaroundtheworld,Appreciate the content. Cleared the basics by watching it.,2023-04-01T21:24:51Z
Just for Fun,I tried to get the access of twitter Api but unfortunately I didn't get the access of developer portal. Can anyone help me. if some one also facing the same issue also drop the comment below,2023-03-30T16:21:51Z
Shrey Agrawal,thank you very much😀,2023-03-30T10:08:35Z
manu prakash,"Great! Got broader understanding of api, airflow and aws. Thank you!",2023-03-29T10:46:55Z
Duniya Daari,I watch u everyday ✨ and working on my skills to became a Data engineer 🙂,2023-03-22T11:20:57Z
Toan NN,how to display twitter api dashboard? Please help me.,2023-03-22T10:01:50Z
Shahriar Entertainer,This is so impessive. Keep up your good work. I wish for a true success in your life,2023-03-22T05:57:49Z
Eshwar Sai,"+1 subscriber
excellent....",2023-03-04T12:16:15Z
Aish Mash,Thank you so much 😇❤,2023-03-03T14:05:01Z
Christina Raichel Francis,"I got this error when i tried to upload the file to s3..
An error occurred (AccessDenied) when calling the PutObject operation: No AWSAccessKey was presented
Can anyone direct me?",2023-02-28T10:20:45Z
amar sk,Are the developer portal rules changed in twitter? Because I found out that my application is pending and they will let me know the update,2023-02-22T18:36:06Z
Ahsan Ehtesham,"Important thing to note:
Apache Airflow requires min. 4GB of memory hence free trial EC2 instance won't work.",2023-02-15T11:41:55Z
wonders wonders,"Well done.... I'm finding it difficult to get twitter api, pls assist",2023-02-11T23:26:50Z
Mauludin Rohman,"thank you sir, But can you do a tutorial to change from sequential executor to celery executor ?",2023-02-04T15:00:37Z
vinod gujja,Recent changes to twitter API i think .... Apply for elevated Access if you run into issues. By the way Great content Darshil,2023-01-29T05:53:28Z
Precious Ogbeiwi,Your video was really helpful. Thank you very much,2023-01-27T20:44:35Z
james osewe,"@Darshil Parmar I do get lost where you switch screens between Visual Studio and the other one. Also, I am doing this on Colab Notebook, how can I view the data in a Platform like yours. I have written the code always the way to the first half where we can see Elon Musk Tweets, but on my end I can't find the tweets even though the code is correct and running",2023-01-26T22:09:00Z
Healthy Home - Padhu,Thanks for this good content,2023-01-22T02:34:35Z
Spirits & Such,"I am getting tweepy.errors.Unauthorized: 401 Unauthorized
I have already tried new tokens and resetting system clock.",2023-01-20T09:33:39Z
Jhoan Martinez Silva,PLaylist of beginners projects like this? I have to do the same but instead twitter I have a postgresq database,2023-01-18T19:21:16Z
Rishabh Kaushik,Can't access twitter developer account due to its service operator not working :(,2023-01-18T15:19:10Z
MaximeLT,"So what should we do if not allow all trafic to make it work ? Because you said it is a bad practice, but not what was the good practice ^^",2023-01-18T14:25:54Z
ALEX,"there are lot of errors when executing this project , really badly stuck",2023-01-18T03:26:14Z
avanish yadav,how from airflow import dag is not showing error on vs code ???,2023-01-17T08:42:26Z
shaik usman,Awsome brother...Loved the way to teach...Hoping for detailed projects.....thanks a ton brother.....,2023-01-17T07:15:01Z
Siddhant Khanna,clear and concise content!! Great!,2023-01-17T05:36:24Z
Owen Nowakowski,"This was a very helpful video for me. I have spent the last year learning web development, and I am expanding my skills to include ETL. This video gave me a great overview of the process.",2023-01-17T00:38:26Z
Denis Ebby,"For those having issues with Tweepy and Twitter api versions, try the following code:

client = tweepy.Client(bearer_token=bearer_token)
username = # your chosen account to get tweets for
account = client.get_user(username=username)
tweets = client.get_users_tweets(id = account.data.id,  max_results = 100, exclude = ""retweets,replies"")",2023-01-16T23:53:28Z
Quốc Nguyễn Đình,"Although I do exactly the same as the video, I'm still unable to connect to the airflow webserver at port 8080 which is deployed in the EC2 instance. Anyone meets the same thing? Can you show me what to do :<",2023-01-13T20:53:47Z
Python Math UI,"thanks for the explanation darshil! but it still hard for me to understand all of this, espescialy the AWS related part, i understamd the python code but still not easy to understand the aws cloud",2023-01-07T10:21:06Z
Timi,"When I use the airflow standalone command in the terminal, the link from the Public IPv4 DNS can't be reached. I get the following errors in the console ERROR - Triggerer's async thread was blocked for 0.60 seconds.  ERROR - No response from gunicorn master within 120 second.ERROR - Shutting down webserver. 
What is this caused by and how to fix it? I am doing everything according to the video",2023-01-06T22:16:06Z
Ivan Salazar,for the security group if add a custom TCP rule do we just have to open port 8080 to our local ip address?,2023-01-06T04:02:13Z
Unmesh Shah,With user-timeline deprecated it would make sense to update the video with V2 ApI,2023-01-04T18:20:57Z
Kareem Rasheed babatunde,I ran airflow standalone but couldnt get admin username and password,2023-01-02T04:38:33Z
lyla bata,I have been following u for a long time now I don't even look at others videos......u r just great ....keep up the great work,2022-12-30T20:57:56Z
Carti 🌵,Disclaimer : *airflow doesn't work with t2.micro*,2022-12-28T18:39:34Z
Hien Hoang Trong,i love it <3,2022-12-26T15:42:10Z
Simu,there is some issue while downloading apache airflow .It shows error .Anyone who came across it and resolved respond plz,2022-12-24T15:31:58Z
mehmet kaya,Thank you for another great tutorial!!,2022-12-21T04:57:44Z
Aarav Kumar Singh,U can chekout  this channel for sql interview question and data engineering things https://youtube.com/playlist?list=PLkQcti0Ydt9gTjJ24M3otaUUJLWogeeI2,2022-12-16T19:56:07Z
Anish Shetty,I am not able to generate Access key. Can I use your access keys?,2022-12-15T11:15:32Z
hema sai manikanta hemasaimanikantasaditya95,"I started doing this project,  but unable to start airflow using command ""airflow standalone""",2022-12-15T07:36:36Z
AB DA,"Thank you for the great content!
I just have a question. I'm trying to run Airflow locally on my machine by using Ubuntu to extract tweets from Twitter with Twint library and load it to BigQuery. However, when I copied the dag scripts and the ETL scripts to Airflow folders in Ubuntu and try to load the dag it seems like it fails because Airflow doesn't have access to packages and modules installed locally (e.g. Twint). What do you recommend in this case?",2022-12-13T14:09:10Z
kan UI,"Hi darshil, 
I have followed your tutorial but I face this error ""An error occurred (AccessDenied) when calling the PutObject operation: No AWSAccessKey was presented."". I have google it and try some solutions but they all don't work. what should I do? can you help me?",2022-12-12T09:01:24Z
Mir Irshad Ali,As usual very nice content and appreciate your effort. If you could make a video with OOPs approach and include some test cases that will be really great.,2022-12-10T17:28:27Z
SUJEET NAIR,i m elder than u.. but u r an inspiration bro... i m new to data engineering..,2022-12-05T15:30:46Z
ANKIT KUMAR,In data engineering community you are the GEM. Thanks from the bottom of my heart Darshil. Keep growing keep inspiring.,2022-12-04T19:29:47Z
manisha,Very informative👍,2022-12-04T07:03:16Z
kan UI,"this is awsome !
can't wait for the next data engineering projects, darshil🔥
greetings from indonesia",2022-11-28T16:18:17Z
Mohammed Asif,"Hi
When I'm calling my python script in DAG code it's throwing import error. I'm not sure why, can anyone help here?",2022-11-27T10:09:09Z
Swapnil Patil,can we add this project in resume  for 1 year of experience person in python and sql but not in data engineering,2022-11-26T13:04:24Z
Kunal Berry,"thanks, very helpful video",2022-11-26T10:45:18Z
Duy Trần,how to share this project to github or sth please,2022-11-23T19:45:37Z
gabriel fds,"Darshil, amazing! I do not have words to say thank yoU!",2022-11-23T19:35:41Z
KIRAN K V,"Really love the content darshil.
Very precise explanation.",2022-11-22T18:41:09Z
Marc Hansel Thomas,enjoyed the process! took me more than 12 hours to do this lol with all the trouble shooting and error fixing!,2022-11-20T00:25:32Z
Darkhorse,Have you ever used Argo in place of Airflow?,2022-11-19T12:05:59Z
Rajiv Jani,Awesome! Thanks for sharing it!,2022-11-18T21:37:01Z
shirode sagar,"I am getting this error 

You currently have Essential access which includes access to Twitter API v2 endpoints only. If you need access to this endpoint, you’ll need to apply for Elevated access via the Developer Portal.


any solution?",2022-11-18T14:57:40Z
sopy,I really appreciate the effort and simplicity..! I was looking for actual content like this ... Thank you Darshil 😇,2022-11-15T07:13:34Z
Lakshay Chopra,God bless you man,2022-11-15T04:47:25Z
Rohan Kapadnis,Any particular reason of using an EC2 instance? Can we just run Airflow on our local machine?,2022-11-10T01:17:02Z
shubham patil,Sir one request can you please made end to end project using airflow like you tube data analysis,2022-11-08T18:48:56Z
shubham patil,Thank you soo much darshil sir❤,2022-11-08T18:47:17Z
Agustin Olivares - Ingeniería,Keep up the good work! Your project is the best. Greetings from Chile 😁,2022-11-08T00:48:06Z
Amit Sharma,precise and clear content. Amazing,2022-11-03T22:10:55Z
