author,comment,published_at
Jennifer Aniston,I HAVE INCURRED SO MUCH LOSSES TRADING ON MY OWN. I TRADE WELL ON DEMO BUT I THINK THE REAL MARKET IS MANIPULATED. CAN ANYONE HELP ME OUT OR AT LEAST TELL ME WHAT I'M DOING WRONG?,2023-04-07T00:20:24Z
The Scenes,"I have fallen twice now , nd you have helped me twice . Thanks man.",2023-04-06T21:48:16Z
Liv ,"I really wish you would also do a complete expose of Grant Cardone, who is by far the most cringe-worthy guru out there. Added to this he is a nasty piece of work who is cruel and dismissive of people's emotions, aspirations and genuine and earnest desire to learn, and plain vulgar in so many ways. Who has recently filed for bankruptcy, but not in his personal capacity, his words are you can't sue me, I only work here, go after the corporation.",2023-04-06T10:52:58Z
Ras Mussen,"The only real way to become wealthy is taking the money from the rich. This has happened all along history, Ancient Egypt and Rome were destroyed by barbarians. The French and Russian royalties were annihilated by the working class during the French and Russian Revolution. If you want a real social change a Revolution is needed, but remember there is no peaceful revolution.

The rich do not care about you and don’t want you to be rich as well, they just manipulate you. Sadly we have the weakest and most coward generation of young people in history. They think they will become rich investing in crypto frauds or being ridiculous on Tiktok, 99% of people will fail doing that. This generation is so domesticated and masochistic towards those oppressing them. You need to stand and rebel against the oligarchies and tyrannies, there is no other way.",2023-04-02T19:54:12Z
Simrantells,the add which showed up  while starting this video was from a internet money guru,2023-04-02T10:57:17Z
Shuksy,"Another great video James…I am inspired by your editing style, I’ll check out your Patreon, cheers 👌🏾",2023-04-01T14:37:59Z
BayzedGuy,1:57 destiny lol,2023-03-29T22:34:24Z
Holy Bible,"Getting rich is certainly possible but very hard. And cost a lot of discipline. But financially free is easy doable. With 10,000 per month in the Netherlands im financially free😊.",2023-03-29T18:53:18Z
jnbfrancisco,I had a neighbor in the early 80s that tried to get me involved in a get rich quick scheme he was involved in.   The scheme was selling very expensive fire detection devices to poor low intelligent people.  His main sales point was that you weren't doing the right thing for your children if you didn't spend about 800 dollars for his devices.  His devices were supposed to be much better than the much lower cost devices because they were made of metal.  I thought they were not nearly as good as the lower cost ones.   The same pyramid scheme was also part of the scheme.,2023-03-29T17:02:19Z
Dominique Gardner,"This is highly one sided and misleading.  It’s like the person who says a diet didn’t work because they didn’t follow it and they didn’t want to do the hard work.  Are there get rich quick scams?  Absolutely, but not everyone you showed video of promotes that.  You yourself are “selling” drama for subs and likes. People have to use their own discernment and do the hard work in any job.  Many companies and people are actually successful in MLM companies.  You sir are very misleading…not a balanced video at all.  You didn’t even share your horrid experience.  We are just supposed to take your word?  In my opinion, you are in the category of people you’ve described in this video.",2023-03-28T17:16:11Z
